,project_id,option_id,option_calculation_id,company_id,projects_name,facility_type_id,facility_type,facility_type_lcm,industry_type_id,name,started_at,finished_at,tax_rate_source,finance_discount_rate,tax_exempt,active,area_count,area_count_sum,ave_annual_hours,max_kwh_cost,max_kwh_cost_simple,existing_lighting_count,total_watts_per_product,ave_lm70,total_solution_count,total_existing_quantity,total_proposed_quantity,total_replacement_count,total_fixture_watts,total_fixture_watt_hours,total_fixture_life_years,total_item_watts,sol_total_existing_count,total_product_count,energy_savings_per_year,total_savings_per_year,rebates,net_replacement_cost,payback,ROI,address,city,state,zip_code,latitude,longitude,existing_kwh,proposed_kwh,kwh_proposed_annual_savings,sqft
878,2118,2464,2429,369,Becher Terrace,37,Multi-Family (Common Areas),Other,2251,Denesik-Rippin,57:56.2,58:16.5,2,5,FALSE,TRUE,7,310,5110,0.13,,7,277543,15100,7,0,0,,,,,,7,7,8.53E-14,8.53E-14,,0,,inf,1800 W. Becher Street,Milwaukee,WI,53215,43.007095,-87.936066,158036.97,158036.97,0,
879,2118,2465,2430,369,Becher Terrace,37,Multi-Family (Common Areas),Other,2251,Denesik-Rippin,38:50.0,39:02.5,2,5,FALSE,TRUE,7,310,5110,0.13,,7,277543,15100,7,7863,7863,731,1371,60543280,547.9452055,11848,56,56,12082.9527,12082.9527,,24665.43395,2.04,48.98739152,1800 W. Becher Street,Milwaukee,WI,53215,43.007095,-87.936066,158036.97,65091.18,92945.79,
880,2119,2467,2432,369,Clarke Square Terrace,37,Multi-Family (Common Areas),Other,2251,Denesik-Rippin,39:10.7,39:18.1,2,5,FALSE,TRUE,7,135,5110,0.13,,7,100590,15666.66667,7,3344,3344,557,713,39898880,332.6810176,7808,34,34,11465.1537,11465.1537,,21369.28362,1.86,53.65249442,1740 W. Pierce Street,Milwaukee,WI,53204,43.024548,-87.935425,133151.27,44957.78,88193.49,
881,2120,2386,2351,102,Allen Linen Supply LED Lighting Upgrade,34,Manufacturing Facility,Other,2249,"Collier, Stroman and Auer",30:46.0,30:52.5,2,5,FALSE,TRUE,2,8,3120,0.17,,2,2536,24000,2,66,66,24,240,4492800,64.1025641,1440,4,4,676.26,1000.26,,177,0.18,565.1186441,,,,,,,8470.8,4492.8,3978,
882,2121,2396,2361,102,Allen Linen Supply #2 LED Lighting Upgrade,26,Industrial - 2 Shift,Other,2249,"Collier, Stroman and Auer",31:23.7,31:39.6,2,5,FALSE,TRUE,3,12,3120,0.17,,3,4512,24000,3,306,306,81,384,14938560,112.1794872,4788,7,7,2014.4592,3058.4592,,602.88,0.2,507.308121,,,,,,,26788.32,14938.56,11849.76,
883,2122,2388,2353,102,Standard Springs Inc LED Lighting Upgrade,25,Industrial - 1 Shift,Other,2249,"Collier, Stroman and Auer",30:43.0,30:45.9,2,5,FALSE,TRUE,1,1,3120,,,1,158,24000,1,13,13,13,60,2433600,16.02564103,780,1,1,0,156,,86.32,0.55,180.7228916,,,,,,,6408.48,2433.6,3974.88,
884,2124,2392,2357,276,Blue Kitchen_78,21,Food Stores,Food Sales,2239,Maggio Inc,30:52.6,31:02.1,2,5,FALSE,TRUE,7,168,2990,0.08,,7,79296,13571.42857,7,7321,7321,694,540,117510120,146.5201465,21522,18,18,8930.376,10072.95225,,12240,1.22,82.29536155,905 S. First Street,Madill,OK,73446,34.082905,-96.76735,229139.82,117510.12,111629.7,
885,2125,2505,2470,348,Fairbanks Scales,34,Manufacturing Facility,Other,,"Bailey, Schaden and Breitenberg",08:52.6,08:55.4,2,5,FALSE,TRUE,4,60,3066.666667,0.1,,4,31641.6,19400,4,88,90,90,135,12330000,88.33333333,4110,4,5,24190.58,25180.47583,,33067.63667,1.31,76.14839877,239 69th Ave,Meridian,MS,39307,32.359833,-88.75013,303387.8,61482,241905.8,37500
886,2125,2505,2470,348,Fairbanks Scales,34,Manufacturing Facility,Other,,"Bailey, Schaden and Breitenberg",08:52.6,08:55.4,2,5,FALSE,TRUE,4,60,3066.666667,0.1,,4,31641.6,19400,4,88,90,90,135,12330000,88.33333333,4110,4,5,24190.58,25180.47583,,33067.63667,1.31,76.14839877,239 69th Ave,Meridian,MS,39307,32.359833,-88.75013,303387.8,61482,241905.8,7200
887,2125,2505,2470,348,Fairbanks Scales,34,Manufacturing Facility,Other,,"Bailey, Schaden and Breitenberg",08:52.6,08:55.4,2,5,FALSE,TRUE,4,60,3066.666667,0.1,,4,31641.6,19400,4,88,90,90,135,12330000,88.33333333,4110,4,5,24190.58,25180.47583,,33067.63667,1.31,76.14839877,239 69th Ave,Meridian,MS,39307,32.359833,-88.75013,303387.8,61482,241905.8,37500
888,2129,2395,2360,276,Spice Subs_318,,,,2239,Maggio Inc,24:06.4,24:08.2,2,5,FALSE,TRUE,2,4,3996,0.08,,2,1772,17000,2,11,11,11,86,1750248,31.28128128,438,2,2,649.27008,649.27008,,1800,2.77,36.07056,905 S. First Street,Madill,OK,73446,34.082905,-96.76735,9866.124,1750.248,8115.876,
889,2137,2398,2363,313,Sahara Apartments,8,College - Dormitory,Lodging,2249,Huel-Altenwerth,54:48.5,54:56.2,2,5,FALSE,TRUE,7,864,3123.75,0.14,,7,856296,11083.33333,7,829,853,409,339.5,44395800,114.0410959,8578,10,16,13534.8584,13570.7384,-3325,11005.66444,0.81,123.3068523,919 N. Stone Avenue,Tucson,AZ,85705,32.23349,-110.97254,228276.66,131599.1,96677.56,
890,2140,2425,2390,102,Stanbee Co,,,,2249,"Collier, Stroman and Auer",57:47.1,58:02.3,2,5,FALSE,TRUE,8,2948,3321.5,0.17,,8,2930848,13909.09091,8,0,0,,,,,,8,8,4.55E-13,4.55E-13,,0,,inf,,,,,,,73427.926,73427.926,0,
891,2140,2427,2392,102,Stanbee Co,,,,2249,"Collier, Stroman and Auer",58:20.5,58:31.3,2,5,FALSE,TRUE,6,2948,3321.5,0.17,,6,2198136,13909.09091,6,0,0,,,,,,6,6,4.55E-13,4.55E-13,,0,,inf,,,,,,,73427.926,73427.926,0,
892,2140,2513,2478,102,Stanbee Co,,,,2249,"Collier, Stroman and Auer",58:16.7,58:28.1,2,5,FALSE,TRUE,8,2948,3321.5,0.17,,8,2930848,13909.09091,8,0,0,,,,,,8,8,4.55E-13,4.55E-13,,0,,inf,,,,,,,73427.926,73427.926,0,
893,2142,2407,2372,184,METYX - Deleted,34,Manufacturing Facility,Other,2251,"Goodwin, Borer and Kuhic",28:21.7,28:29.4,2,5,FALSE,TRUE,1,140,6570,0.08,,1,31730,18571.42857,1,0,0,,,,,,1,2,25468.2984,25468.2984,,15392.20544,0.6,165.4623082,2504 Lowell Rd,Gastonia,NC,28054,35.279434,-81.13351,636168.72,317814.99,318353.73,
894,2148,2428,2393,15,Hendrick Chevrolet and Nissan,,,,,"Anderson, Shields and Hyatt",53:58.8,54:02.2,2,5,FALSE,TRUE,1,16,4380,0.12,,1,8168,10000,1,342,342,114,900,149796000,68.49315068,34200,3,3,53928.6624,53928.6624,,118684.35,2.2,45.43873089,,,,,,,617842.8,168437.28,449405.52,
895,2148,3701,3666,15,Hendrick Chevrolet and Nissan,,,,,"Anderson, Shields and Hyatt",54:04.6,54:07.8,2,5,FALSE,TRUE,1,16,4380,0.12,,1,8168,10000,1,0,0,,,,,,1,1,53928.6624,53928.6624,,128145.4875,2.38,42.08393401,,,,,,,617842.8,168437.28,449405.52,
896,2148,3715,3680,15,Hendrick Chevrolet and Nissan,,,,,"Anderson, Shields and Hyatt",54:07.8,54:11.3,2,5,FALSE,TRUE,1,16,4380,0.12,,1,8168,10000,1,342,342,114,900,149796000,68.49315068,34200,3,3,53865.5904,53865.5904,,100089.45,1.86,53.81745069,,,,,,,617842.8,168962.88,448879.92,
897,2148,3767,3732,15,Hendrick Chevrolet and Nissan,,,,,"Anderson, Shields and Hyatt",01:39.5,01:42.7,2,5,FALSE,TRUE,1,16,4380,0.12,,1,8168,10000,1,0,0,,,,,,1,1,1.14E-13,1.14E-13,,0,,inf,,,,,,,617842.8,617842.8,0,
898,2151,2414,2379,369,"TCI, LLC",34,Manufacturing Facility,Other,2251,Denesik-Rippin,37:49.5,37:53.2,2,5,FALSE,TRUE,3,63,2660,0.13,,3,37071,17142.85714,3,250,250,125,190,17366400,69.44444444,4020,6,6,9756.1152,9756.1152,,17925.62816,1.84,54.42551364,,,,,,,153829.6,78782.56,75047.04,
899,2151,2616,2581,369,"TCI, LLC",34,Manufacturing Facility,Other,2251,Denesik-Rippin,37:45.4,37:49.3,2,5,FALSE,TRUE,3,63,2660,0.13,,3,37071,17142.85714,3,250,250,125,190,17366400,69.44444444,4020,6,6,5929.4001,5929.4001,,23539.91869,3.97,25.18870255,,,,,,,153829.6,108218.83,45610.77,
900,2155,2418,2383,276,United #363 Weatherford Exterior,21,Food Stores,Food Sales,2239,Maggio Inc,44:45.5,44:48.9,2,5,FALSE,TRUE,7,21,3996,0.08,,7,30009,12857.14286,7,59,59,59,354,14953032,125.1251251,3742,7,7,4477.1184,4477.1184,2500,23400,5.23,19.13298462,920 E. Main Street,Weatherford,OK,73096,35.525917,-98.695816,70917.012,14953.032,55963.98,
901,2156,2447,2412,32,Peterson Toyota Lexus,1,Auto Related,Services,2254,Gerlach-King,55:21.3,56:14.3,2,5,FALSE,TRUE,24,32256,3634.111111,0.05,,24,117476352,18437.5,24,19743,25202,1727,4389,215915414,2030.891838,46559,122,199,39626.509,43450.56189,,182124.4414,4.19,23.85762259,9101 Fairview Ave,Boise,ID,83704,43.619286,-116.29505,1143535.794,351005.614,792530.18,
902,2156,2489,2454,32,Peterson Toyota Lexus,1,Auto Related,Services,2254,Gerlach-King,56:14.5,56:56.1,2,5,FALSE,TRUE,24,32256,3634.111111,0.05,,24,117476352,18437.5,24,19752,25211,1728,4396,215950358,2037.903056,46566,123,200,24936.7774,28760.83029,,125822.7618,4.37,22.85820934,9101 Fairview Ave,Boise,ID,83704,43.619286,-116.29505,1143535.794,644800.246,498735.548,
903,2162,2429,2394,276,United #356 Cordell Exterior,21,Food Stores,Food Sales,2239,Maggio Inc,43:42.0,43:45.3,2,5,FALSE,TRUE,5,15,3996,0.08,,5,21735,10200,5,38,38,38,323,6681312,106.3563564,1672,5,5,1009.86912,1009.86912,,6900,6.83,14.63578435,,,,,,,19304.676,6681.312,12623.364,
904,2166,2432,2397,276,Gavco Plastics - Main Factory Office Areas,26,Industrial - 2 Shift,Other,2239,Maggio Inc,26:31.9,26:41.3,2,5,FALSE,TRUE,5,270,4125.333333,0.08,,5,80460,16200,5,801,801,61,606,8236800,405.6776557,1986,21,21,2063.568,2274.782739,240,3055,1.34,74.46097345,,,,,,,34031.4,8236.8,25794.6,
905,2167,2433,2398,276,United #358 Mangum Interior Labor Only,21,Food Stores,Food Sales,2239,Maggio Inc,44:03.6,44:12.9,2,5,FALSE,TRUE,2,170,3820,0.08,,2,32096,20000,2,628,628,68,675,13803300,197.0964815,3285,14,14,4266.1168,4702.771539,,12536,2.67,37.51413161,1000 N. Louis Tittle,Mangum,OK,73554,34.88201,-99.502525,117229.76,63903.3,53326.46,
906,2168,2435,2400,102,Electronic Transformer Corp,34,Manufacturing Facility,Other,2249,"Collier, Stroman and Auer",57:53.1,58:02.6,2,5,FALSE,TRUE,4,76,2600,0.15,,4,31616,20000,4,3129,3129,368,1560,57408000,500,22080,27,27,6536.4,6536.4,,4547.279,0.7,143.7431044,,,,,,,101920,58344,43576,
907,2171,2436,2401,184,METYX,34,Manufacturing Facility,Other,2251,"Goodwin, Borer and Kuhic",28:14.1,28:21.5,2,5,FALSE,TRUE,2,140,6570,0.08,,2,56040,20071.42857,2,10,31,31,28,1736670,14.84018265,396.5,2,5,16416.7656,16416.7656,,47791.04116,2.91,34.35113611,2504 LOWELL RD,GASTONIA,NC,28054,35.279434,-81.13351,367792.98,162583.41,205209.57,
908,2176,6262,6227,372,Green Sushi_28,,,,2239,Kub Group,04:20.1,04:23.8,2,5,FALSE,TRUE,3,120,2965,0.1567,,3,53100,18333.33333,3,135,135,49,282,5854500,264.1296928,1962,7,7,1558.560138,1558.560138,,32042.03643,,4.864110749,,,,,,,36029.64,26083.5,9946.14,
909,2178,2442,2407,276,Orange House_35,21,Food Stores,Food Sales,2239,Maggio Inc,28:02.9,28:05.3,2,5,FALSE,TRUE,1,12,3996,0.08,,1,3000,10000,1,50,50,25,60,2997000,2.502502503,750,2,2,1287.67104,1287.67104,,9760,,13.19335082,1000 N. Louis Tittle,Mangum,OK,73554,34.88201,-99.502525,22777.2,6681.312,16095.888,
910,2180,2445,2410,369,Piedmont Plastics Office,,,,2251,Denesik-Rippin,38:35.5,38:36.6,2,5,FALSE,TRUE,1,2,2000,0.13,,1,202,20000,1,48,48,24,80,1920000,50,960,2,2,380.64,380.64,,3708.48,,10.26404349,2800 S 166th St,New Berlin,WI,53151,42.993572,-88.11853,4848,1920,2928,
911,2182,2448,2413,102,Red Coffee_33,40,Office (General Office Types),Offices (Non-medical),2249,"Collier, Stroman and Auer",46:06.0,46:17.3,2,5,FALSE,TRUE,7,322,3584,0.15,,7,304612,11714.28571,7,529,529,117,869,15671040,355.0824176,5384,22,22,5236.392,6509.392,,2399.75,0.37,271.2529222,,,,,,,50580.32,15671.04,34909.28,
912,2183,2477,2442,370,METCAM,30,Light Manufacturers,Other,2251,"Zulauf, Jones and Schowalter",16:34.8,16:42.4,2,5,FALSE,TRUE,14,320,5248,0.1075,,14,752360,12875,14,1632,5012,2126,612,96941112,293.8300284,21235,24,55,25347.71826,28051.54793,500,52201.74168,1.86,53.73680462,305 Tidwell Cir,Alpharetta,GA,30004,34.11724,-84.25059,333233.04,97440.312,235792.728,
913,2184,2457,2422,355,Regents West @ 24th,37,Multi-Family (Common Areas),Other,2311,Labadie-Streich,39:07.4,39:29.5,2,5,FALSE,TRUE,3,1520,4995,1523.7,,3,148656,21100,3,152,164,63,76.4,3299016,52.2260274,584.4,7,9,5025.534328,7025.534328,,16056.35714,3.29,43.75546872,2401 San Gabriel St,Austin,TX,78705,30.288422,-97.74746,126974.74,65687.736,61287.004,
914,2184,2487,2452,355,Regents West @ 24th,37,Multi-Family (Common Areas),Other,2311,Labadie-Streich,39:29.9,39:36.6,2,5,FALSE,TRUE,3,1520,4995,1523.7,,3,148656,21100,3,152,164,63,76.4,3299016,52.2260274,584.4,7,9,4639.796488,6639.796488,,23797.87286,5.58,27.90079823,2401 San Gabriel St,Austin,TX,78705,30.288422,-97.74746,126974.74,70391.856,56582.884,
915,2185,2451,2416,276,Blue Grill & Tap_105,21,Food Stores,Food Sales,2239,Maggio Inc,43:55.5,44:03.5,2,5,FALSE,TRUE,4,112,3250,0.08,,4,29344,20000,4,3033,3033,513,606,92907360,132.7838828,17016,15,15,7413.3696,8172.15871,2200,8565,1.05,95.41341167,315 S. Broadway,Hobart,OK,73651,35.025604,-99.0961,185574.48,92907.36,92667.12,
916,2190,2454,2419,386,CMFS,62,Warehouse (Not Refrigerated),Warehouse and storage,,"Smitham, Rau and Brown",27:09.7,27:20.5,2,5,FALSE,TRUE,1,6,696.3333333,0.16,,1,672,20000,1,134,134,67,120,3496740,50024.03846,4020,2,2,484.88128,1288.88128,,135.34,0.11,952.3284173,,,,,,,6527.248,3496.74,3030.508,
917,2191,2455,2420,276,"United #360 Hollis Interior ""Labor Only""",21,Food Stores,Food Sales,2239,Maggio Inc,44:14.6,44:20.1,2,5,FALSE,TRUE,7,126,2652,0.08,,7,52794,17285.71429,7,750,750,198,279,25583688,123.7101313,6009,10,10,2058.80064,2269.52742,792,3777,1.66,60.0880969,423  E. Broadway,Hollis,OK,73550,34.68163,-99.914536,51318.696,25583.688,25735.008,
918,2192,2456,2421,276,20 Deli_101,21,Food Stores,Food Sales,2239,Maggio Inc,44:13.0,44:14.5,2,5,FALSE,TRUE,1,1,3996,0.08,,1,175,10000,1,5,5,5,50,999000,18.76876877,250,1,1,199.8,199.8,200,1300,6.51,15.36923077,423 E. Broadway,Hollis,OK,73550,34.68163,-99.914536,3496.5,999,2497.5,
919,2193,2459,2424,276,Silver Burger_312,21,Food Stores,Food Sales,2239,Maggio Inc,44:34.1,44:45.3,2,5,FALSE,TRUE,6,264,3250,0.08,,6,103224,16833.33333,6,9642,9642,801,756,137926880,394.9175824,25369,25,25,11071.7152,12204.95115,3300,12640,1.04,96.55815781,2700 W. 3rd Street,Elk City,OK,73644,35.41151,-99.43747,276323.32,137926.88,138396.44,
920,2194,2461,2426,276,829 Deli_317,21,Food Stores,Food Sales,2239,Maggio Inc,44:31.5,44:34.1,2,5,FALSE,TRUE,3,6,3996,0.08,,3,2148,13333.33333,3,19,19,19,98,2749248,43.79379379,688,3,3,604.1952,604.1952,200,2500,4.14,24.167808,2700 W. 3rd Street,Elk City,OK,73644,35.41151,-99.43747,10301.688,2749.248,7552.44,
921,2195,2462,2427,386,818 Juice Bar_283,62,Warehouse (Not Refrigerated),Warehouse and storage,,"Smitham, Rau and Brown",57:17.2,57:20.1,2,5,FALSE,TRUE,1,4,2600,0.15,,1,424,20000,1,0,0,,,,,,1,1,2.27E-13,2.27E-13,,0,,inf,,,,,,,16182.4,16182.4,0,
922,2195,2469,2434,386,818 Juice Bar_283,62,Warehouse (Not Refrigerated),Warehouse and storage,,"Smitham, Rau and Brown",25:33.6,25:36.1,2,5,FALSE,TRUE,2,4,2600,0.15,,2,848,20000,2,86,86,72,161,8366800,66.15384615,3218,3,3,1172.34,1172.34,,1011.6,0.86,115.8896797,,,,,,,16182.4,8366.8,7815.6,
923,2198,2472,2437,276,"Country Mart #510 Lawton Interior ""Labor Only""",21,Food Stores,Food Sales,2239,Maggio Inc,23:23.9,23:37.0,2,5,FALSE,TRUE,7,252,3250,0.08,,7,99540,17285.71429,7,4604,4604,594,889,102899160,462.4542125,19220,26,26,8245.8896,9089.890583,2350,11050,1.22,82.26145324,4510 S. E. Lee Blvd,Lawton,OK,73501,34.594498,-98.33454,205972.78,102899.16,103073.62,
924,2199,2468,2433,386,Eden Intimate Bodycare,25,Industrial - 1 Shift,Other,,"Smitham, Rau and Brown",25:16.1,25:28.1,2,5,FALSE,TRUE,4,20,2600,0.16,,4,10680,17500,4,761,761,178,685,26483600,292.3076923,10186,13,13,7000.448,7972.448,,1560.65,0.2,510.8415083,,,,,,,70236.4,26483.6,43752.8,
925,2203,2665,2630,355,First Security Bank 22 US 64,3,Banks,Offices (Non-medical),2311,Labadie-Streich,38:46.7,38:52.5,2,5,FALSE,TRUE,2,80,3668,0.1,,2,16780,19875,2,28,28,14,50,685916,54.52562704,187,4,4,1514.1504,1816.7904,,8409.991958,5.55,21.60276025,22 US-64,Beebe,AR,72012,35.06948,-91.920975,25221.168,10079.664,15141.504,
926,2208,2475,2440,276,Country Mart #511 Lawton Interior Labor Only,21,Food Stores,Food Sales,2239,Maggio Inc,23:37.4,23:47.1,2,5,FALSE,TRUE,6,168,3250,0.08,,6,96264,16833.33333,6,3267,3267,464,495,72716280,200.3205128,13386,17,17,5961.5296,6571.716867,2040,7625,1.16,86.18645072,902 W. Gore,Lawton,OK,73502,34.608498,-98.40162,147235.4,72716.28,74519.12,
927,2209,2476,2441,276,Homeland #127 Chickasha Interior Labor Only,21,Food Stores,Food Sales,2239,Maggio Inc,31:42.1,31:53.2,2,5,FALSE,TRUE,8,208,3250,0.08,,8,84032,12875,8,5567,5567,640,420,103490400,254.1208791,19032,19,19,8328.4448,9180.89565,2400,10100,1.1,90.89995693,759 W. Grand Avenue,Chickasha,OK,73018,35.02942,-97.943306,207595.96,103490.4,104105.56,
928,2210,2478,2443,355,Regents West @ 26th,37,Multi-Family (Common Areas),Other,2311,Labadie-Streich,38:30.1,38:38.9,2,5,FALSE,TRUE,7,330,6326.666667,0.1,,7,67221,19200,7,532,794,634,115.1,36079520,98.45890411,4310.5,13,15,8523.48,8523.48,,18480.77,2.17,46.12080557,900 West 26th St,Austin,TX,78705,30.290997,-97.7465,171333.92,86099.12,85234.8,
929,2210,2493,2458,355,Regents West @ 26th,37,Multi-Family (Common Areas),Other,2311,Labadie-Streich,38:39.1,38:46.6,2,5,FALSE,TRUE,7,330,6326.666667,0.1,,7,67221,19200,7,532,534,374,129.1,54300320,101.3127854,6390.5,13,14,6701.4,8701.4,,35011.06333,4.93,24.85328685,900 West 26th St,Austin,TX,78705,30.290997,-97.7465,171333.92,104319.92,67014,
930,2218,2480,2445,276,"Homeland #855 Okemah Interior ""Labor Only""",21,Food Stores,Food Sales,2239,Maggio Inc,32:19.7,32:32.7,2,5,FALSE,TRUE,6,228,3250,0.08,,6,84588,16833.33333,6,5233,5233,469,531,76287900,320.5128205,14130,20,20,6106.1312,6731.11904,1860,7390,1.1,91.08415481,108 S. Division,Okemah,OK,74859,34.957195,-96.75318,152614.54,76287.9,76326.64,
931,2220,2501,2466,349,Liberal USD 480,54,Schools (Jr./Sr. High),Education,,Huel LLC,01:35.7,15:07.9,2,5,FALSE,TRUE,90,7680576,2857,0.1567,,90,67057770240,19908.25688,90,2375117,6628561,29169,25438,1159419512,46736.98676,395799,1746,4068,239560.8941,239560.8941,,512856.58,2.14,46.71108912,401 N. Kansas Ave.,Liberal,KS,67901,37.041992,-100.922035,3086321.28,1305857.376,1780463.904,
932,2227,2482,2447,276,Homeland #127 Chickasha Exterior,21,Food Stores,Food Sales,2239,Maggio Inc,31:40.0,31:42.0,2,5,FALSE,TRUE,2,4,3996,0.08,,2,1140,15000,2,10,10,10,81,1510488,31.28128128,378,2,2,272.36736,272.36736,150,1560,5.73,17.45944615,759 W. Grand  Avenue,Chickasha,OK,73018,35.02942,-97.943306,4915.08,1510.488,3404.592,
933,2228,2485,2450,369,KMI Construction,40,Office (General Office Types),Offices (Non-medical),2251,Denesik-Rippin,45:30.0,45:31.6,2,5,FALSE,TRUE,1,6,3600,0.13,,1,636,13666.66667,1,6,6,6,40,864000,13.88888889,240,1,1,2972.268,2972.268,,8917.92,3,33.32916196,17150 W. Pheasant DR,brookfield,WI,53092,43.068665,-88.125374,33015.6,10152,22863.6,
934,2229,2486,2451,276,Homeland #855 Okemah Exterior,21,Food Stores,Food Sales,2239,Maggio Inc,25:40.4,25:42.4,2,5,FALSE,TRUE,3,6,3996,0.08,,3,4950,10000,3,6,6,6,243,1942056,40.04004004,486,3,3,372.10752,372.10752,320,2520,,14.76617143,108 S. Division,Okemah,OK,74859,34.957195,-96.75318,6593.4,1942.056,4651.344,
935,2236,2494,2459,19,Test 08-11-2018,,,,2336,"Blanda, Stiedemann and Kiehn",25:05.9,25:14.3,2,5,FALSE,TRUE,2,75,4220,0.08,,2,10500,12400,2,20,20,20,90,7298000,20.03621477,900,2,2,1130.96,23232.51,,6380.8,0.27,364.1002696,,,,,,,23610,9473,14137,
936,2239,2502,2467,369,Schmit Bros. Auto,,,,2251,Denesik-Rippin,46:06.2,46:08.4,2,5,FALSE,TRUE,1,6,3650,0.13,,1,3802,10000,1,24,24,12,120,2628000,27.39726027,720,2,2,1309.62,1309.62,,2095.392,1.6,62.5,,,,,,,325291.65,315217.65,10074,
937,2241,2511,2476,369,EVS Random Lake,,,,2251,Denesik-Rippin,46:17.3,46:21.2,2,5,FALSE,TRUE,2,50,3650,0.13,,2,23580,19100,2,164,164,67,230,10877000,68.49315068,2980,5,5,1232.751,1232.751,,8388.96,6.81,14.69492047,,,,,,,643429.3,633946.6,9482.7,
938,2244,2524,2489,193,Green Peas Casual Food,15,Dining: Family,Food Service,2251,Greenholt-Mraz,17:28.0,17:33.8,2,5,FALSE,TRUE,3,24,3120,0.25,,3,2232,13666.66667,3,310,334,75,90,1818960,176.2820513,583,11,14,610.74,610.74,,970.6341,1.59,62.92175393,,,,,,,4261.92,1818.96,2442.96,
939,2246,2701,2666,32,UP,,,,2254,Gerlach-King,26:38.8,27:38.0,2,5,FALSE,TRUE,1,39690,3979,,,1,5717124,16533.33333,1,7807,7807,211,1665,53377650,1116.631542,9495,37,37,0,0,,12794.5125,,0,,,,,,,954795.528,902604.048,52191.48,
940,2251,2523,2488,386,Sky Trading,62,Warehouse (Not Refrigerated),Warehouse and storage,,"Smitham, Rau and Brown",22:29.7,22:34.0,2,5,FALSE,TRUE,2,4,2600,0.16,,2,716,20000,2,126,126,71,180,11076000,57.69230769,4260,3,3,392.704,392.704,,710,1.81,55.31042254,,,,,,,13530.4,11076,2454.4,
941,2252,2520,2485,386,Building Specialties (L&W Supply),62,Warehouse (Not Refrigerated),Warehouse and storage,,"Smitham, Rau and Brown",22:23.4,22:29.0,2,5,FALSE,TRUE,4,4,3250,0.16,,4,1652,20000,4,254,254,254,180,24765000,61.53846154,7620,4,4,4526.6,4526.6,,1760,0.39,257.1931818,,,,,,,53056.25,24765,28291.25,
942,2255,2636,2601,386,Dora's Naturals,49,Refrigerated Warehouse,Warehouse and storage,,"Smitham, Rau and Brown",09:54.0,09:59.5,2,5,FALSE,TRUE,2,99,3100,0.16,,2,30096,17777.77778,2,727,727,377,180,70122000,48.38709677,22620,3,3,6374.096,6374.096,,6974.5,1.09,91.39144025,,,,,,,168807.4,128969.3,39838.1,
943,2255,2638,2603,386,Dora's Naturals,49,Refrigerated Warehouse,Warehouse and storage,,"Smitham, Rau and Brown",09:59.7,10:05.9,2,5,FALSE,TRUE,9,99,3100,0.16,,9,135432,17777.77778,9,903,940,538,740,99479000,193.5483871,32090,12,13,11092.544,11092.544,,17627.75,1.59,62.92660152,,,,,,,168807.4,99479,69328.4,
944,2258,2527,2492,331,Koch Industries,40,Office (General Office Types),Offices (Non-medical),2249,"Jaskolski, Walter and Aufderhar",22:20.1,22:23.3,2,5,FALSE,TRUE,1,2,4380,0.087,,1,120,20000,1,47,94,94,15,6175800,11.41552511,1410,1,2,8036.5554,8036.5554,,13203.15,1.64,60.86847002,4111 E 37th St N,Wichita,KS,67220,37.751537,-97.287,184748.4,92374.2,92374.2,
945,2259,2577,2542,386,7825 Dragon_56,49,Refrigerated Warehouse,Warehouse and storage,,"Smitham, Rau and Brown",17:52.8,18:01.2,2,5,FALSE,TRUE,8,144,3100,0.16,,8,205200,16250,8,648,648,160,1394,32351600,406.1290323,10436,20,20,4890.064,4890.064,,4617,0.94,105.9143167,,,,,,,62914.5,32351.6,30562.9,
946,2260,2531,2496,372,Sweet House_50,,,,2239,Kub Group,54:57.5,55:00.5,2,5,FALSE,TRUE,1,2,8760,0.145394,,1,466,20000,1,0,0,,,,,,1,1,60809.21435,60809.21435,,50259.17667,0.83,120.9912664,,,,,,,761322.84,343085.4,418237.44,98500
947,2261,2647,2612,372,Golden Eatery_77,,,,2239,Kub Group,54:36.4,54:38.1,2,5,FALSE,TRUE,1,2,5600,0.16789,,1,156,20000,1,32,32,463,50,64820000,35.71428571,11575,2,2,797.276032,797.276032,,1064,1.33,74.93195789,,,,,,,6988.8,2240,4748.8,
948,2261,6354,6319,372,Golden Eatery_77,,,,2239,Kub Group,54:38.2,54:39.9,2,5,FALSE,TRUE,1,2,5600,0.16789,,1,156,20000,1,926,464,232,88,57164800,71.42857143,10208,4,2,24356.4067,24356.4067,,50581.6,2.08,48.15270119,,,,,,,202238.4,57164.8,145073.6,
949,2273,2575,2540,276,Kiamichi Technology Center Wilburton,40,Office (General Office Types),Offices (Non-medical),2239,Maggio Inc,34:02.0,34:37.3,2,5,FALSE,TRUE,13,2990,1652,0.08,,13,3910920,14000,13,2662,2664,279,2076.5,15556254,2258.631709,8422.5,55,56,2501.83472,2794.504018,1640,15580,5.58,17.93648279,,,,,,,46829.188,15556.254,31272.934,
950,2273,2588,2553,276,Kiamichi Technology Center Wilburton,40,Office (General Office Types),Offices (Non-medical),2239,Maggio Inc,34:37.6,35:03.1,2,5,FALSE,TRUE,13,2990,1652,0.08,,13,3910920,14000,13,2662,2664,279,1904.5,15115086,3703.538154,8086.5,55,56,2537.12816,2833.926151,2190,29872,,9.486897935,,,,,,,46829.188,15115.086,31714.102,
