,ZipCode,Address,BldgClass,LandUse,OwnerName,LotArea,BldgArea,ComArea,OfficeArea,RetailArea,GarageArea,StrgeArea,NumFloors,UnitsRes,UnitsTotal,YearBuilt,BuiltFAR,CommFAR,XCoord,YCoord
10231,11106.0,36-02 36 AVENUE,S3,4.0,"HAZOGLOU, KONSTANDINO",2310,2250,290,0,290,0,0,2.0,3,4,1901,0.97,1.0,1004812.0,214154.0
10237,11106.0,36-06 37 STREET,E1,6.0,"FPSK-1, LLC",4625,8378,8378,3753,0,1296,0,2.0,0,1,2012,1.81,1.0,1004951.0,214068.0
10238,11101.0,36-12 37 STREET,E1,6.0,"FPSK-1, LLC",5000,8753,8753,3753,0,0,0,2.0,0,1,1953,1.75,1.0,1004893.0,214020.0
10242,11101.0,36-26 37 STREET,G1,10.0,"MACFER, LLC",2521,3500,3500,1000,0,2500,0,2.0,0,1,1993,1.39,1.0,1004820.0,213902.0
10243,11101.0,36-30 37 STREET,O2,5.0,"TRACHTENBERG, MICHAEL",2500,2200,2200,2200,0,0,0,2.0,0,4,1930,0.88,1.0,1004807.0,213881.0
10244,11101.0,36-40 37 STREET,G9,7.0,TELEBAUM PLAZA CORPOR,10000,30000,30000,5000,0,10000,10000,3.0,0,3,1931,3.0,1.0,1004775.0,213828.0
10245,11106.0,36-44 37 STREET,E9,6.0,RUTH STEIN TRUST,17500,16850,16850,2100,0,0,0,2.0,0,2,1961,0.96,1.0,1004731.0,213728.0
10246,11101.0,36-52 37 STREET,E1,6.0,FD HOLDING LLC,2500,5000,5000,2500,0,0,2500,2.0,0,1,1930,2.0,1.0,1004676.0,213668.0
10247,11101.0,36-58 37 STREET,F9,6.0,RAIN FOREST ART FOUND,5162,15000,15000,0,0,0,0,3.0,0,1,1930,2.91,1.0,1004656.0,213635.0
10249,11101.0,36-45 37 STREET,E1,6.0,KF-1 FAMILY PARTNERSH,20000,20500,20500,0,0,7500,0,1.0,0,2,1954,1.03,1.0,1004805.0,213575.0
10250,11101.0,36-27 37 STREET,E9,6.0,KF-1 FAMILY PARTNERSH,17500,2430,2430,0,0,0,0,1.0,0,1,1996,0.14,1.0,1004903.0,213735.0
10254,11101.0,36-17 37 STREET,E9,6.0,CAMLIN REALTY LLC,2500,3750,3750,1875,0,0,1875,2.0,0,1,1991,1.5,1.0,1004994.0,213883.0
10258,11101.0,37-02 36 AVENUE,F9,6.0,CHANG LEOPOLD,2341,3550,2175,475,0,700,0,2.0,1,2,1940,1.52,1.0,1005033.0,214017.0
10262,11101.0,36-02 38 STREET,G8,5.0,HACHMANN REALTY CORP,9500,9500,9500,1400,0,8100,0,1.0,0,1,1931,1.0,1.0,1005152.0,213943.0
10265,11101.0,36-20 38 STREET,E1,6.0,"V & F GANGI, L.L.C.",10100,12500,12500,2400,0,0,10100,2.0,0,1,2004,1.24,1.0,1005062.0,213798.0
10266,11101.0,36-32 38 STREET,E9,6.0,CTCA INC.,5000,6000,6000,0,0,0,0,2.0,0,1,1930,1.2,1.0,1005023.0,213734.0
10267,11101.0,36-36 38 STREET,E9,6.0,TRIPLE ZZZ REALTY INC,7500,8375,8375,0,0,8375,0,2.0,0,1,1930,1.12,1.0,1004990.0,213680.0
10268,11101.0,36-48 38 STREET,G9,7.0,MARKS GERT,10000,7000,7000,0,0,2000,0,2.0,0,3,1930,0.7,1.0,1004944.0,213606.0
10270,11101.0,36-54 38 STREET,S0,4.0,BENITO SKROCE,2500,1848,924,0,924,0,0,2.0,1,3,1901,0.74,1.0,1004899.0,213532.0
10271,11101.0,36-56 38 STREET,E1,6.0,BENITO SKROCE,2500,4500,4500,1800,0,0,2700,2.0,0,1,1985,1.8,1.0,1004885.0,213510.0
10273,11101.0,37-21 NORTHERN BOULEVARD,G8,5.0,"KESTENBAUM, JAY",9363,7500,7500,1000,0,0,0,1.0,0,1,1925,0.8,1.0,1004853.0,213430.0
10274,11101.0,37-15 NORTHERN BOULEVARD,G8,5.0,"KESTENBAUM, JAY",7633,7500,7500,1500,0,2900,0,1.0,0,1,1930,0.98,1.0,1004789.0,213399.0
10276,11106.0,34-07 36 AVENUE,C7,4.0,PALD ENTERPRISES INC,7072,21256,1920,0,1920,0,0,4.0,25,27,1926,3.01,0.0,1004483.0,214539.0
10285,11106.0,35-01 34 STREET,C7,4.0,35-15 34TH ST REALTY,15000,43200,1500,0,1500,0,0,4.0,60,62,1928,2.88,0.0,1004730.0,214942.0
10286,11106.0,35-02 35 STREET,C7,4.0,"ALPERT, CHARLES",15000,43300,500,0,500,0,0,4.0,60,61,1926,2.89,0.0,1004817.0,214889.0
10288,11106.0,35-38 35 STREET,P5,8.0,PARKS AND RECREATION,12500,3625,3625,0,0,0,0,1.0,0,1,1946,0.29,0.0,1004672.0,214653.0
10291,11106.0,34-11 36 AVENUE,C7,4.0,DIMITRIOS TSAKONAS,7000,20844,800,0,800,0,0,4.0,27,29,1926,2.98,0.0,1004569.0,214486.0
10292,11106.0,35-01 36 AVENUE,E9,6.0,"REHNS, LILA",6692,12236,12236,0,0,0,12236,2.0,0,1,1959,1.83,5.0,1004721.0,214376.0
10293,11106.0,35-45 35 STREET,F9,6.0,"S&C PROPERTIES,",9950,11200,11200,1200,0,0,0,2.0,0,1,1964,1.13,5.0,1004734.0,214452.0
10294,11106.0,35-35 35 STREET,E9,6.0,"DESPOTIS, SERGIOS",15000,36000,36000,0,0,0,0,3.0,0,5,1960,2.4,5.0,1004800.0,214559.0
10295,11106.0,35-25 35 STREET,E1,6.0,W B WERWAISS REALTY L,15000,16125,16125,0,0,7500,8625,2.0,0,1,1940,1.08,5.0,1004902.0,214629.0
10296,11106.0,35-02 36 STREET,W1,8.0,NYC DEPT OF EDUCATION,43000,182842,182842,0,0,0,182842,5.0,0,1,2006,4.25,5.0,1004978.0,214752.0
10297,11106.0,35-28 36 STREET,G1,10.0,SUKLA SUNANDAN ESTATE,10000,11460,11460,0,910,10550,0,1.0,0,2,1925,1.15,5.0,1004898.0,214527.0
10298,11106.0,35-40 36 STREET,O2,5.0,DAG,10000,10050,10050,10050,0,0,0,2.0,0,2,1931,1.01,5.0,1004845.0,214442.0
10299,11106.0,35-19 36 AVENUE,M9,8.0,AL-AMIN JAME MASJIDIN,2944,8832,8832,0,0,0,0,3.0,0,2,1931,3.0,5.0,1004824.0,214341.0
10300,11106.0,35-15 36 AVENUE,P9,8.0,"35-15 REALTY, LLC",3831,3800,3800,0,3800,0,0,1.0,0,1,1925,0.99,5.0,1004793.0,214360.0
10301,11106.0,36-01 36 AVENUE,O5,5.0,"PUSWALD, RICHARD",6995,34500,34500,20700,0,0,0,5.0,0,10,1928,4.93,5.0,1004919.0,214282.0
10302,11106.0,35-37 36 STREET,E9,6.0,EIB STUDIO SQUARE LLC,30054,65904,65904,10226,12500,0,43178,6.0,0,9,1930,2.19,5.0,1005038.0,214354.0
10303,11106.0,35-27 36 STREET,W4,8.0,"IRON-ATF REALTY, INC",25000,24500,24500,0,0,0,0,1.0,0,1,1927,0.98,5.0,1005096.0,214508.0
10304,11106.0,35-01 36 STREET,O5,5.0,36-02 35TH AVE. DEVEL,16532,49000,49000,27000,22000,0,0,4.0,0,10,1928,2.96,5.0,1005169.0,214666.0
10305,11106.0,36-12 35 AVENUE,W3,8.0,NYC EDC,16532,45300,45300,0,0,0,0,4.0,0,1,1929,2.74,5.0,1005256.0,214612.0
10306,11101.0,35-18 37 STREET,F9,6.0,KASSABIAN ASSOCIATES,10000,28000,28000,0,0,0,0,3.0,0,1,1929,2.8,5.0,1005185.0,214497.0
10307,11106.0,36-13 36 AVENUE,F9,6.0,ARROW 36 LLC,11532,34575,34575,0,0,0,0,3.0,0,5,1928,3.0,5.0,1005006.0,214228.0
10308,11101.0,35-43 37 STREET,E9,6.0,JERED REALTY,11554,7020,4400,0,0,0,4400,1.0,0,3,1940,0.61,1.0,1005156.0,214164.0
10309,11101.0,35-50 38 STREET,J8,5.0,KAUFMAN BEDROCK ASTOR,38000,37625,37625,0,0,0,0,1.0,0,1,1998,0.99,1.0,1005282.0,214236.0
10310,11101.0,35-01 37 STREET,J8,5.0,KAUFMAN BEDROCK ASTOR,58118,57425,57425,0,0,0,0,1.0,0,1,1998,0.99,1.0,1005402.0,214449.0
10311,11101.0,35-30 38 STREET,J8,5.0,KAUFMAN BEDROCK ASTOR,3010,3760,3760,0,0,0,0,1.0,0,1,1998,1.25,1.0,1005260.0,214082.0
10313,11101.0,37-09 36 AVENUE,F9,6.0,"BIGFOOT REALTY, LLC",1900,3100,3100,0,0,0,0,2.0,0,1,1910,1.63,1.0,1005186.0,214105.0
10314,11106.0,34-11 35 AVENUE,O2,5.0,EXCAVATOR`S 731 PROPE,15960,43200,43200,43200,0,0,0,4.0,0,1,1919,2.71,3.0,1004928.0,215084.0
10315,11106.0,34-01 35 AVENUE,I5,8.0,APOLONION INC,12040,9072,9072,8572,0,0,0,2.0,0,1,1946,0.75,0.0,1004841.0,215138.0
10332,11106.0,34-04 34 AVENUE,C7,4.0,34-04 34TH AVE LLC,4000,16380,888,0,888,0,0,5.0,24,26,1914,4.1,0.0,1005104.0,215553.0
10333,11106.0,34-12 35 STREET,K1,5.0,RANCHOS 34 REALTY,14000,14000,14000,0,14000,0,0,1.0,0,1,1929,1.0,3.0,1005165.0,215457.0
10338,11106.0,34-12 36 STREET,J6,5.0,ASTORIA STUDIOS LIM P,116000,280000,280000,80000,0,0,0,3.0,0,1,1919,2.41,5.0,1005227.0,215158.0
10340,11106.0,36-01 35 AVENUE,P7,8.0,MUSEUM OF THE MOVING,37329,96000,96000,0,0,0,0,3.0,0,1,1913,2.57,5.0,1005345.0,214854.0
10341,11106.0,36-06 34 AVENUE,G1,10.0,CORNER PIECE ASTORIA,9350,1529,1529,0,0,1529,0,1.0,0,1,1960,0.16,5.0,1005533.0,215253.0
10342,11106.0,36-12 34 AVENUE,O2,5.0,D&P EQUITIES LLC,1684,6407,6407,6407,0,0,0,4.0,0,6,1988,3.8,5.0,1005606.0,215243.0
10343,11101.0,34-02 37 STREET,S3,4.0,"DIMITRIOS KASSAPIDIS,",1200,3360,960,960,0,0,0,2.0,3,4,1965,2.8,5.0,1005656.0,215224.0
10345,11101.0,34-12 37 STREET,G9,7.0,VITTORIO OPLANICH,12600,4600,3000,0,0,3000,0,1.0,1,20,1940,0.37,5.0,1005590.0,215156.0
10347,11106.0,34-37 36 STREET,J6,5.0,KAUFMAN ASTORIA STUDI,30802,41974,41974,41974,0,0,0,3.0,0,1,2010,1.36,5.0,1005435.0,214999.0
10348,11101.0,37-11 35 AVENUE,O5,5.0,PARAMOUNT ASTORIA ASS,23000,69000,69000,23000,23000,0,0,3.0,0,4,1935,3.0,5.0,1005549.0,214688.0
10349,11101.0,34-37 37 STREET,P6,9.0,ASTORIA ICE INC,25000,53550,53550,5000,0,0,0,4.0,0,4,1926,2.14,5.0,1005611.0,214790.0
10350,11101.0,34-29 37 STREET,F9,6.0,CZ REALTY GROUP LLC,5000,5000,5000,0,0,0,0,1.0,0,2,1922,1.0,1.0,1005613.0,214891.0
10361,11101.0,37-18 34 AVENUE,S1,4.0,ANGELO CHIARELLI,764,1436,718,0,718,0,0,2.0,1,2,1930,1.88,1.0,1005881.0,215089.0
10366,11101.0,34-12 38 STREET,E1,6.0,EMPIRE MG  PROPERTIES,2583,2500,2500,0,0,0,2500,1.0,0,1,1930,0.97,1.0,1005797.0,215000.0
10369,11101.0,34-24 38 STREET,E1,6.0,"EMPIRE MG PROPERTIES,",2585,2585,2585,0,0,0,2585,1.0,0,1,1963,1.0,1.0,1005745.0,214914.0
10376,11101.0,37-14 34 AVENUE,S1,4.0,ANGELO & MARIA CHIARE,780,1436,718,0,0,0,0,2.0,1,2,1930,1.84,1.0,1005834.0,215118.0
10400,11106.0,35-10 BROADWAY,K2,5.0,ST BROADWAY REALTY LL,10000,15940,15940,7927,7927,0,0,2.0,0,13,1927,1.59,3.0,1005825.0,216232.0
10401,11106.0,35-20 BROADWAY,O7,5.0,THOMAS M QUINN & SONS,13200,47000,47000,14000,3000,0,0,4.0,0,5,1931,3.56,3.0,1005905.0,216165.0
10402,11106.0,32-16 36 STREET,N4,8.0,"CHURCH ASSOCIATES, CO",9500,9558,9558,0,0,0,0,4.0,0,0,1965,1.01,0.0,1005845.0,216068.0
10425,11106.0,32-90 36 STREET,K1,5.0,32-90 36TH STREET LLC,3100,2982,2982,0,2982,0,0,1.0,0,4,1940,0.96,0.0,1005473.0,215463.0
10447,11106.0,32-40 37 STREET,M1,8.0,RC CH PRECIOUS BLOOD,61250,90000,90000,0,0,0,0,3.0,0,3,1924,1.47,0.0,1005913.0,215780.0
10448,11106.0,32-23 36 STREET,M3,8.0,R C CH PRECIOUS BLOOD,5000,7560,7560,0,0,0,0,3.0,0,0,1920,1.51,0.0,1005956.0,215949.0
10450,11106.0,36-10 BROADWAY,O5,5.0,NEW YORK COMMERCIAL B,5000,11520,11520,8446,0,0,0,3.0,0,1,1931,2.3,3.0,1006112.0,216057.0
10451,11106.0,36-16 BROADWAY,K2,5.0,REDBIRD REALTY CORP,2500,2550,2550,1275,1275,0,0,2.0,0,1,1940,1.02,3.0,1006144.0,216037.0
10473,11106.0,35-19 BROADWAY,S2,4.0,"35-19 BROADWAY,",1960,4239,1960,0,1960,0,0,3.0,2,3,1960,2.16,3.0,1006038.0,216303.0
10474,11106.0,35-17 BROADWAY,S2,4.0,"KAUSER'S  ROCK,",1960,3500,1190,0,1190,0,0,3.0,2,3,1922,1.79,3.0,1006020.0,216314.0
10475,11106.0,35-13 BROADWAY,S2,4.0,GENOVESE ESTATES CORP,1960,3500,1200,0,0,0,0,3.0,2,3,1922,1.79,3.0,1005984.0,216336.0
10476,11106.0,35-11 BROADWAY,S2,4.0,ELIE ESTHER REALTY CO,1960,3500,1190,0,1190,0,0,3.0,2,3,1922,1.79,3.0,1005968.0,216346.0
10477,11106.0,35-09 BROADWAY,S2,4.0,MJR BROADWAY MANAGEME,2000,3500,1190,0,1190,0,0,3.0,2,3,1922,1.75,3.0,1005952.0,216359.0
10478,11106.0,35-07 BROADWAY,S2,4.0,ASTORIA 3507 LLC.,2000,3500,1190,0,1190,0,0,3.0,2,3,1922,1.75,3.0,1005935.0,216369.0
10479,11106.0,35-03 BROADWAY,S2,4.0,KLIDONAS REALTY LLC,2000,4500,2100,0,1900,0,0,3.0,2,3,1926,2.25,3.0,1005900.0,216390.0
10480,11106.0,35-01 BROADWAY,S2,4.0,TAN & TANG REALTY INC,2000,4400,2000,0,2000,0,0,3.0,2,3,1927,2.2,3.0,1005883.0,216401.0
10509,11106.0,35-04 31 AVENUE,C7,4.0,BLUE SKY EQUITES LLP,4500,12000,1500,0,0,0,0,4.0,16,18,1926,2.67,0.0,1006331.0,217103.0
10511,11106.0,35-16 31 AVENUE,C1,2.0,"CATRON REALTY, LLC",5500,12000,1500,1500,0,0,0,4.0,16,16,1926,2.18,0.0,1006421.0,217049.0
10542,11106.0,35-15 BROADWAY,S2,4.0,GENOVESE ESTATES CORP,1960,3500,1190,0,1190,0,0,3.0,2,3,1922,1.79,3.0,1006002.0,216325.0
10543,11106.0,35-05 BROADWAY,S2,4.0,GENOVESE ESTATES CORP,2000,3600,1200,0,1200,0,0,3.0,2,3,1922,1.8,3.0,1005918.0,216379.0
10547,11106.0,36-19 BROADWAY,K9,5.0,PHILLIPS PETER,2500,4600,3550,1050,2500,0,0,2.0,2,7,1922,1.84,3.0,1006258.0,216170.0
10548,11106.0,36-17 BROADWAY,K1,5.0,BESTWAY ASSOCIATES,2500,2500,2500,0,2500,0,0,1.0,0,1,1915,1.0,3.0,1006235.0,216185.0
10549,11106.0,36-11 BROADWAY,K1,5.0,BESTWAY ASSOCIATES,5000,5000,5000,0,5000,0,0,1.0,0,1,1926,1.0,3.0,1006203.0,216204.0
10550,11106.0,36-01 BROADWAY,K1,5.0,"NICHOLAS, MARY",10000,10000,10000,0,10000,0,0,1.0,0,4,1928,1.0,3.0,1006138.0,216244.0
10579,11106.0,31-18 37 STREET,M1,8.0,TRINITY LUTHERN CHURC,28000,51750,51750,0,0,0,0,2.0,0,3,1926,1.85,0.0,1006614.0,216821.0
10596,11103.0,31-76 37 STREET,D7,4.0,37 REAL ESTATE CORP.,7500,28901,10500,5250,0,3200,2050,5.0,21,23,2011,3.85,0.0,1006272.0,216265.0
10604,11106.0,35-17 31 AVENUE,S2,4.0,TONY J YEE,1600,4940,2470,0,1235,0,0,3.0,2,3,1930,3.09,0.0,1006544.0,217166.0
10607,11106.0,35-07 31 AVENUE,E9,6.0,PANSAMIAN BROTHERHOOD,1553,2332,1189,0,0,0,1189,2.0,2,3,1930,1.5,0.0,1006459.0,217218.0
10608,11106.0,35-03 31 AVENUE,O9,5.0,GEORGIOU  GEORGE,1553,3030,1824,1548,0,0,0,2.0,2,3,1930,1.95,0.0,1006426.0,217238.0
10609,11106.0,30-95 35 STREET,C7,4.0,STEFANIA HUDA,1720,6418,1730,0,1730,0,0,4.0,7,9,1920,3.73,0.0,1006408.0,217249.0
10610,11103.0,30-85 35 STREET,M1,8.0,OPEN DOOR BIBLE BAPTI,8200,5016,5016,0,0,0,0,2.0,0,0,1925,0.61,0.0,1006497.0,217316.0
10624,11103.0,30-45 35 STREET,S1,4.0,PALMA ROBERT,2500,3680,1360,0,1360,0,0,2.0,1,2,1930,1.47,0.0,1006717.0,217672.0
10633,11103.0,30-21 35 STREET,S1,4.0,30-21 35 STREET REAL,2500,3680,1360,1360,0,0,0,2.0,1,2,1930,1.47,0.0,1006835.0,217864.0
10635,11103.0,30-17 35 STREET,S2,4.0,KARAKELIDES MARIA,2500,4080,1360,1360,0,0,0,2.0,2,3,1930,1.63,0.0,1006861.0,217907.0
10639,11103.0,35-02 30 AVENUE,S9,4.0,GREAT MID ATLANT.RLTY,2000,4100,1700,0,1700,0,0,3.0,4,6,1925,2.05,3.0,1006899.0,218045.0
10640,11103.0,35-04 30 AVENUE,S2,4.0,3504 LLC,2000,4100,1700,0,1700,0,0,3.0,2,3,1925,2.05,3.0,1006916.0,218034.0
10641,11103.0,35-08 30 AVENUE,S2,4.0,"DI FAZIO, SALVATORE",2000,4093,1681,0,1681,0,0,3.0,2,3,1925,2.05,3.0,1006951.0,218013.0
10642,11103.0,35-10 30 AVENUE,S4,4.0,"DI FAZIO, SALVATORE",2000,4100,1688,0,1688,0,0,3.0,4,5,1922,2.05,3.0,1006968.0,218003.0
10643,11103.0,35-12 30 AVENUE,S3,4.0,YSM LLC,2000,3600,1200,0,1200,0,0,3.0,3,4,1925,1.8,3.0,1006985.0,217992.0
10644,11103.0,35-14 30 AVENUE,S4,4.0,FRANK TERRIZZI,2000,4100,1700,0,1700,0,0,3.0,4,5,1925,2.05,3.0,1007002.0,217982.0
10645,11103.0,35-18 30 AVENUE,S2,4.0,"RACANELLI, JOSEPH",2000,4100,1681,0,1681,0,0,3.0,2,3,1925,2.05,3.0,1007037.0,217960.0
10646,11103.0,35-20 30 AVENUE,S9,4.0,"PAGANO, MICHAEL",2000,4100,1681,0,1681,0,0,3.0,2,6,1925,2.05,3.0,1007055.0,217949.0
10647,11103.0,30-12 36 STREET,S1,4.0,JOSEP BLAZEVIC,2003,2500,900,0,0,0,0,2.0,1,2,1930,1.25,0.0,1006988.0,217918.0
10660,11103.0,30-44 36 STREET,S1,4.0,"GTS 36, LLC",2500,3520,1360,1360,0,0,0,2.0,1,2,1921,1.41,0.0,1006816.0,217640.0
10663,11103.0,30-52 36 STREET,S1,4.0,"MIRAL, HARRIET",2500,2720,1360,1360,0,0,0,2.0,1,2,1930,1.09,0.0,1006777.0,217577.0
10667,11103.0,30-62 36 STREET,O7,5.0,GLADSTEIN MICHAEL,4007,2180,2180,1180,0,0,1000,2.0,0,2,1935,0.54,0.0,1006720.0,217486.0
10670,11103.0,30-74 36 STREET,O7,5.0,30-74 36TH STREET LLC,2500,2700,2700,2700,0,0,0,2.0,0,1,1915,1.08,0.0,1006663.0,217393.0
10672,11103.0,30-78 36 STREET,S1,4.0,"CHARLES, KALLY M",2521,2560,1280,1280,0,0,0,2.0,1,2,1935,1.02,0.0,1006637.0,217351.0
10673,11103.0,30-82 36 STREET,S1,4.0,"PSIMOULIS-SCOULLIS, A",2500,2560,1280,1280,0,0,0,2.0,1,2,1935,1.02,0.0,1006624.0,217330.0
10679,11106.0,35-05 31 AVENUE,S2,4.0,KONSTANTINOS ROSVOGLO,1553,2247,1107,0,1107,0,0,2.0,2,3,1935,1.45,0.0,1006443.0,217228.0
10682,11103.0,35-06 30 AVENUE,S2,4.0,XIXI REALTY LLC,2000,4112,1700,0,1700,0,0,3.0,2,3,1925,2.06,3.0,1006934.0,218024.0
10683,11103.0,35-16 30 AVENUE,S4,4.0,"COCHRAN, TRUSTEE, CHR",2000,4100,1700,0,1200,0,500,3.0,4,5,1925,2.05,3.0,1007019.0,217971.0
10688,11106.0,36-11 31 AVENUE,C7,4.0,"QUEENLY REALTY CO,",10000,30282,4000,0,0,0,0,4.0,35,37,1924,3.03,0.0,1006755.0,217046.0
10689,11106.0,36-01 31 AVENUE,C7,4.0,DR MANAGEMENT CORP,10000,30582,4000,4000,0,0,0,4.0,31,35,1924,3.06,0.0,1006668.0,217099.0
10690,11103.0,30-89 36 STREET,O8,5.0,"30-89 36TH STREET, LL",2600,2210,1250,1250,0,0,0,2.0,1,2,1925,0.85,0.0,1006701.0,217154.0
10701,11103.0,30-61 36 STREET,S1,4.0,"BUTLER, EDWARD C",2500,2720,1360,0,1360,0,0,2.0,1,2,1925,1.09,0.0,1006858.0,217407.0
10705,11103.0,30-51 36 STREET,S1,4.0,VASILIOS GOGAS,2500,2720,1360,1360,0,0,0,2.0,1,2,1925,1.09,0.0,1006911.0,217493.0
10706,11103.0,30-49 36 STREET,S1,4.0,FORTUNE REALTY INC,2500,2720,1360,0,1360,0,0,2.0,1,2,1925,1.09,0.0,1006924.0,217514.0
10709,11103.0,30-41 36 STREET,S2,4.0,"STYK REALTY,",2500,4080,1360,0,1360,0,0,2.0,2,3,1925,1.63,0.0,1006963.0,217578.0
10711,11103.0,30-37 36 STREET,S1,4.0,ELIZABETH MOOTOO,2000,1800,900,0,0,0,0,2.0,1,2,1925,0.9,0.0,1006985.0,217613.0
10713,11103.0,30-33 36 STREET,O2,5.0,30-33 36TH STREET REA,2000,1800,1800,1800,0,0,0,2.0,0,1,1925,0.9,0.0,1007007.0,217648.0
10716,11103.0,30-25 36 STREET,O8,5.0,MILLER PAUL,2000,2100,1200,1200,0,0,0,2.0,1,2,1925,1.05,0.0,1007049.0,217716.0
10721,11103.0,30-11 36 STREET,S1,4.0,LOPRESTI CHARLES,2000,2700,900,0,0,0,0,2.0,1,2,1925,1.35,0.0,1007123.0,217835.0
10722,11103.0,36-02 30 AVENUE,S2,4.0,FRANK ROSCIGNO,2000,4100,1681,0,1681,0,0,3.0,2,3,1924,2.05,3.0,1007121.0,217908.0
10723,11103.0,36-04 30 AVENUE,S2,4.0,36-04 30TH. AVENUE RE,2000,4112,1700,0,1700,0,0,3.0,2,3,1924,2.06,3.0,1007138.0,217898.0
10724,11103.0,36-08 30 AVENUE,K4,4.0,VORILLAS PETER,2000,4150,2950,1200,1750,0,0,3.0,1,4,1924,2.08,3.0,1007172.0,217877.0
10725,11103.0,36-10 30 AVENUE,S2,4.0,"YUN FUNG REAL ESTATE,",2000,4112,1700,0,1700,0,0,3.0,2,3,1924,2.06,3.0,1007189.0,217867.0
10726,11103.0,36-12 30 AVENUE,S3,4.0,LORENZO EVOLA,2000,4020,1700,0,1700,0,0,3.0,3,4,1924,2.01,3.0,1007206.0,217856.0
10727,11103.0,36-14 30 AVENUE,S2,4.0,JACK LAPADULA AS TRUS,2000,4094,1700,0,1700,0,0,3.0,2,3,1924,2.05,3.0,1007224.0,217846.0
10728,11103.0,36-18 30 AVENUE,S2,4.0,PINKY SHEARS LLC,2000,4093,1681,0,1681,0,0,3.0,2,3,1924,2.05,3.0,1007258.0,217825.0
10729,11103.0,36-20 30 AVENUE,K4,4.0,36-20 30TH AVE,2020,4100,2900,1200,1700,0,0,3.0,2,9,1927,2.03,3.0,1007277.0,217814.0
10730,11103.0,30-14 37 STREET,O7,5.0,DAA REALTY LLC,2003,6387,6387,6387,0,0,0,3.0,0,3,2009,3.19,0.0,1007210.0,217783.0
10750,11103.0,30-64 37 STREET,S1,4.0,MEI QIN DONG,2504,2720,1360,0,0,0,0,2.0,1,2,1925,1.09,0.0,1006937.0,217341.0
10765,11103.0,36-06 30 AVENUE,S4,4.0,"FCMD HOLDINGS, LLC",2000,4081,1681,0,1681,0,0,3.0,4,5,1924,2.04,3.0,1007155.0,217888.0
10766,11103.0,36-16 30 AVENUE,S9,4.0,RITA MOUGIAS LAVALLE,2000,3600,1788,600,1188,0,0,3.0,2,5,1924,1.8,3.0,1007241.0,217835.0
10767,11103.0,30-16 37 STREET,RM,4.0,,2062,6194,1560,0,0,0,0,5.0,8,9,2009,3.0,0.0,1007198.0,217763.0
10802,11103.0,25-09 36 STREET,C2,2.0,"MILCETIC, RICHARD A",2500,4500,300,0,0,300,0,3.0,6,6,1986,1.8,0.0,1008112.0,219438.0
10806,11103.0,36-10 ASTORIA BOULEVARD S,S3,4.0,LAZAROVICI ELENA,1875,3450,575,0,575,0,0,3.0,3,4,1920,1.84,0.0,1008195.0,219474.0
10807,11103.0,36-16 ASTORIA BOULEVARD S,D7,4.0,36 REALTY LLC,6690,34146,4000,0,0,0,0,7.0,25,26,2007,5.1,0.0,1008239.0,219459.0
10822,11103.0,25-36 37 STREET,M1,8.0,HOLYTRINITY RUSSIAN O,7400,3080,3080,0,0,0,0,1.0,0,0,1930,0.42,0.0,1008027.0,219107.0
10823,11103.0,25-38 37 STREET,D6,4.0,25-38 37TH STREET LLC,2529,5547,1337,1337,0,0,0,5.0,8,9,2012,2.19,0.0,1008003.0,219062.0
10841,11103.0,36-19 28 AVENUE,C7,4.0,"TENA PROPERTIES, LLC",2500,7435,1000,0,1000,0,0,4.0,10,11,1926,2.97,0.0,1007724.0,218543.0
10847,11103.0,36-01 28 AVENUE,D1,3.0,36-01 ASTORIA LLC,2000,8524,400,0,0,400,0,6.0,9,9,2014,4.26,0.0,1007567.0,218628.0
10856,11103.0,36-03 28 AVENUE,S2,4.0,AGIOS GEORGIOS LLC,1760,3042,1521,0,1521,0,0,2.0,2,3,1901,1.73,0.0,1007588.0,218615.0
10894,11103.0,37-02 ASTORIA BOULEVARD S,O5,5.0,"27-24 JACKSON AVENUE,",5150,14577,14577,10872,1500,0,0,6.0,0,6,1948,2.83,0.0,1008383.0,219432.0
10896,11103.0,37-10 ASTORIA BOULEVARD S,S3,4.0,FRATERNAL SOC OF CANI,2152,3540,1180,0,1180,0,0,3.0,3,4,1916,1.64,0.0,1008438.0,219420.0
10898,11103.0,37-14 ASTORIA BOULEVARD S,S2,4.0,"XENOPHONTOS, XENOPHO",2120,3540,1180,0,1180,0,0,3.0,2,3,1916,1.67,0.0,1008477.0,219411.0
10899,11103.0,37-16 ASTORIA BOULEVARD S,S2,4.0,VITO VACCARO,2120,3870,1690,0,1690,0,0,3.0,2,3,1910,1.83,0.0,1008496.0,219407.0
10900,11103.0,37-18 ASTORIA BOULEVARD S,F9,6.0,CROATION RADIO CLUB I,4303,6600,3800,0,0,0,0,2.0,2,3,1910,1.53,0.0,1008527.0,219401.0
10901,11103.0,37-22 ASTORIA BOULEVARD S,S9,4.0,"PILARINOS, KONSTANTIN",2152,4420,1940,0,1940,0,0,3.0,2,5,1910,2.05,0.0,1008558.0,219394.0
10931,11103.0,37-19 28 AVENUE,S5,4.0,25-94 38TH STREET REA,2000,4000,1000,400,600,0,0,3.0,5,6,1919,2.0,0.0,1007947.0,218406.0
