,Unnamed: 0,project_id,option_id,option_calculation_id,company_id,projects_name,facility_type_id,facility_type,facility_type_lcm,facility_type_lcm_new,industry_type_id,name,started_at,finished_at,tax_rate_source,finance_discount_rate,tax_exempt,active,area_count,area_count_sum,ave_annual_hours,max_kwh_cost,max_kwh_cost_simple,existing_lighting_count,total_watts_per_product,ave_lm70,total_solution_count,total_existing_quantity,total_proposed_quantity,total_replacement_count,total_fixture_watts,total_fixture_watt_hours,total_fixture_life_years,total_item_watts,sol_total_existing_count,total_product_count,energy_savings_per_year,total_savings_per_year,rebates,net_replacement_cost,payback,ROI,address,city,state,zip_code,latitude,longitude,existing_kwh,proposed_kwh,kwh_proposed_annual_savings,sqft,sqft_new,max_kwh_cost_simple_new,LIGHTING_INTENSITY
1493,1493,4002,3816,3781,465,McCormick's Russell Road,,,,Public assembly,2336.0,Simonis-Cormier,26:55.4,26:57.4,2.0,5,False,True,1,36,,0.145,,1,5124.0,10333.33333,1,5,5,5.0,150.0,0.0,0.0,750.0,1,1,0.0,0.0,,1307.8125,,0.0,5430 Russell Rd,Twin Lake,MI,49457.0,43.354168,-86.23597,0.0,0.0,0.0,,700.0,0.961,0.0
1494,1494,4003,3900,3865,276,Catalayah Elementary Claremore,53.0,School / University,Education,Religious worship,2239.0,Maggio Inc,23:55.2,24:18.8,2.0,5,False,True,21,4032,2138.666667,0.02,,21,10733184.0,16190.476190000001,21,15793,15793,921.0,2761.0,57670700.0,2505.2631579999997,30353.0,90,90,2247.206,2320.228876,,42988.0,,5.397387356,,,,,,,170031.0,57670.7,112360.3,,6557.0,0.0446,25.93121855
1495,1495,4004,3902,3867,276,Claremont Elementary Claremore,,,,Religious worship,2239.0,Maggio Inc,23:30.9,23:55.0,2.0,5,False,True,15,3762,2138.666667,0.11,,15,6308280.0,21578.947369999998,15,43758,43758,818.0,2112.0,43903260.0,2338.3853489999997,23013.0,81,81,7988.052159999999,8247.623622,,28774.0,3.49,28.66345875,318 E 7th Street,Claremore,OK,74017.0,36.313156,-95.60529,116835.416,44216.76,72618.656,,25000.0,0.07,4.67341664
1496,1496,4012,3809,3774,462,Missour Western University,,,,Warehouse and storage,,Smitham Group,29:29.6,30:19.5,2.0,5,False,True,24,4900,5469.0,0.1,,24,11891712.0,12480.0,24,17135,17135,1290.0,2729.5,342634644.0,1128.276214,59970.0,117,117,45919.128,45919.128,,136776.24,2.98,33.57244504,,,,,,,801825.9240000001,342634.644,459191.28,,1000.0,0.0718,801.825924
1497,1497,4018,3799,3764,251,Los Angeles Airport Marriott (Marquee Sign),,,,Other,,"Frami, Lowe and Mertz",13:28.6,13:30.6,2.0,5,False,True,2,5,4380.0,0.16,,2,20956.0,122000.0,2,5,5,5.0,678.0,4940640.0,22.83105023,1128.0,2,2,2842.4448,2842.4448,915.0,5045.0,1.77,56.34181962,5855 W Century Blvd,Los Angeles,CA,90045.0,33.94572,-118.38488000000001,22705.92,4940.64,17765.28,,5000.0,0.085,4.541183999999999
1498,1498,4019,4086,4051,444,Ohio Tool Works,25.0,Industrial - 1 Shift,Other,Other,,"Jacobson, Auer and Rolfson",24:22.8,24:26.8,2.0,5,False,True,2,120,3750.0,0.1159,,2,44040.0,18333.33333,2,678,3648,1216.0,63.0,39836160.0,96.15384615,12768.0,6,30,16759.32776,25941.39659,,49102.16605,1.89,52.83147093,1374 Township Rd. 743,Ashland,OH,44805.0,40.858670000000004,-82.26772,222939.24,78337.62,144601.62,,1000.0,0.063,222.93923999999998
1499,1499,4021,3802,3767,102,FUCHS,65.0,Other,Other,Services,2249.0,"Collier, Stroman and Auer",40:53.2,40:59.8,2.0,5,False,True,2,8,2886.0,0.16,,2,2008.0,20000.0,2,74,74,53.0,156.0,8450208.0,86.62508663,2928.0,5,5,2628.79968,2628.79968,,571.7,0.22,459.82152879999995,,,,,,,24880.206000000002,8450.208,16429.998,,500.0,0.06,49.760412
1500,1500,4022,3819,3784,416,Italmatch Chemicals,34.0,Manufacturing Facility,Other,Services,2249.0,Hermiston Group,30:35.9,30:40.9,2.0,5,False,True,1,77,6240.0,0.107,,1,15190.0,14545.45455,1,204,204,68.0,495.0,70012800.0,38.46153846,11220.0,3,3,16392.87936,19325.47936,6684.85,58542.758,3.03,33.0108796,1100 State Road,Ashtabula,OH,44004.0,41.895817,-80.77226,326788.8,173584.32,153204.48,,51883.0,0.115,6.298571787
1501,1501,4032,3903,3868,276,Claremore High School,53.0,School / University,Education,Offices (Non-medical),2239.0,Maggio Inc,22:01.1,22:42.1,2.0,5,False,True,23,2737,1900.0,0.11,,23,6442898.0,12086.95652,23,66542,66542,1628.0,4190.5,93120900.0,3873.684211,49011.0,148,148,20215.107,20215.107,,48481.91,2.4,41.69618524,,,,,,,276894.6,93120.9,183773.7,,10000.0,0.063,27.689459999999997
1502,1502,4033,3891,3856,276,Will Rogers Jr. High School,,,,Warehouse and storage,2239.0,Maggio Inc,22:42.7,23:05.2,2.0,5,False,True,17,2538,2138.666667,0.11,,17,7159839.0,7000.0,17,23489,23489,1334.0,2478.0,100361356.0,1788.9255649999998,50093.0,67,67,21838.87244,23258.17916,,49286.0,2.12,47.19023487,1915 N. Florence Avenue,Claremore,OK,74017.0,36.328125,-95.60381,301176.56,102641.356,198535.204,,8000.0,0.063,37.64707
1503,1503,4038,3896,3861,276,Roosa Elementary Claremore,53.0,School / University,Education,Other,2239.0,Maggio Inc,23:16.8,23:30.7,2.0,5,False,True,10,574,1900.0,0.11,,10,734310.0,25714.28571,10,6762,6762,385.0,1550.5,25780150.0,1278.9473679999999,13568.5,46,46,6834.8225,6834.8225,,12698.0,1.86,53.82597653,2001 N Sioux Ave.,Claremore,OK,74017.0,36.332879999999996,-95.59685,88009.9,25875.15,62134.75,,40.0,0.15,2200.2475
1504,1504,4044,3898,3863,276,Westside Elementary Claremore,,,,Offices (Non-medical),2239.0,Maggio Inc,24:41.7,25:13.7,2.0,5,False,True,16,4368,2138.666667,0.11,,16,10968048.0,16562.5,16,61402,61402,1130.0,3101.5,65313848.0,3339.2126940000003,30962.0,119,119,14213.729640000001,14675.60426,,37938.0,2.59,38.68312579,2600 Holly Rd.,Claremore,OK,74017.0,36.30891,-95.64508000000001,194529.572,65313.848,129215.724,,25000.0,0.15,7.78118288
1505,1505,4046,3897,3862,276,Stuart Roosa Elementary Claremore,,,,Offices (Non-medical),2239.0,Maggio Inc,23:05.5,23:16.6,2.0,5,False,True,15,816,2138.666667,0.11,,15,1733490.0,14125.0,15,1778,1778,282.0,1106.5,22073842.0,1125.661897,10723.5,33,33,6152.60734,6317.936332,,14570.0,2.31,43.36263783,2001 N Sioux Avenue,Claremore,OK,74017.0,36.332879999999996,-95.59685,78056.036,22123.242000000002,55932.794,,8000.0,0.134,9.757004499999999
1506,1506,4047,3879,3844,444,Sand Creek International Elementary School,55.0,Schools (Preschool/Elementary),Education,Services,,"Jacobson, Auer and Rolfson",24:19.1,24:22.7,2.0,5,False,True,2,64,2777.0,0.1,,2,12560.0,16375.0,2,1662,1662,568.0,190.0,57367266.0,90.02520706,20658.0,5,5,11598.4182,25095.50124,14184.0,112038.1251,4.46,22.39907284,Project Location:,Colorado Springs,CO,80916.0,38.82889,-104.80993000000001,192673.81399999998,76689.632,115984.18199999999,,720.0,0.085,267.6025194
1507,1507,4047,3879,3844,444,Sand Creek International Elementary School,55.0,Schools (Preschool/Elementary),Education,Other,,"Jacobson, Auer and Rolfson",24:19.1,24:22.7,2.0,5,False,True,2,64,2777.0,0.1,,2,12560.0,16375.0,2,1662,1662,568.0,190.0,57367266.0,90.02520706,20658.0,5,5,11598.4182,25095.50124,14184.0,112038.1251,4.46,22.39907284,550 Sand Creek Drive,Colorado Springs,CO,80916.0,38.82436,-104.74067,192673.81399999998,76689.632,115984.18199999999,,700.0,0.1,275.2483057
1508,1508,4053,3881,3846,276,Claremore Schools Administration Building,,,,Services,2239.0,Maggio Inc,03:03.3,03:30.4,2.0,5,False,True,18,2538,2138.666667,0.11,,18,4202928.0,9111.111111,18,10862,10862,673.0,2336.5,44476452.0,1989.8580769999999,23331.0,74,74,8308.7026,8578.693586,,21063.0,2.46,40.72873563,102 W. 10th Street,Claremore,OK,74017.0,36.2979,-95.61248,120010.112,44476.452000000005,75533.66,,4100.0,0.069,29.27075902
1509,1509,4065,3854,3819,211,Vineyard Life Church LED Lighting project,5.0,Church,Religious worship,Public assembly,2222.0,Ruecker-Jacobs,38:30.8,38:32.5,2.0,5,False,True,8,1290,2150.0,0.0625,,8,1043352.0,13200.0,8,3923,3923,198.0,1344.0,7309250.0,7571.921225,5780.0,41,41,1379.121875,7864.121875,5339.0,15339.5775,1.95,51.26687404,612 North High School Rd,Indianapolis,IN,46214.0,39.775112,-86.271805,30474.2,8408.25,22065.95,,250000.0,0.18447,0.12189680000000001
1510,1510,4065,6865,6836,211,Vineyard Life Church LED Lighting project,5.0,Church,Religious worship,Education,2222.0,Ruecker-Jacobs,38:28.5,38:30.7,2.0,5,False,True,8,1290,2150.0,0.0625,,8,1043352.0,13200.0,8,3923,3923,198.0,1437.0,7737350.0,4631.038872,6192.0,41,41,1352.365625,7837.365625,5339.0,13951.829,1.78,56.17446734,612 North High School Rd,Indianapolis,IN,46214.0,39.775112,-86.271805,30474.2,8836.35,21637.85,,720.0,0.1,42.32527778
1511,1511,4065,8947,8943,211,Vineyard Life Church LED Lighting project,5.0,Church,Religious worship,Education,2222.0,Ruecker-Jacobs,45:12.3,45:14.0,2.0,5,False,True,8,1290,2150.0,0.0625,,8,1043352.0,13200.0,8,3923,3923,198.0,1344.0,7309250.0,7571.921225,5780.0,41,41,1379.121875,7864.121875,8375.0,12778.5775,1.62,61.54144994,612 North High School Rd,Indianapolis,IN,46214.0,39.775112,-86.271805,30474.2,8408.25,22065.95,,225.0,0.1,135.4408889
1512,1512,4068,3831,3796,465,Seaway Appliance Center,,,,Education,2336.0,Simonis-Cormier,25:37.0,25:40.3,2.0,5,False,True,2,16,2652.0,0.145,,2,2800.0,20000.0,2,262,900,262.0,72.0,8337888.0,113.1221719,3144.0,6,20,1711.5875399999998,1711.5875399999998,,4143.3625,2.42,41.309143,2006 Henry Street,Muskegon,MI,49441.0,43.216087,-86.26255,20141.94,8337.888,11804.052,,500.0,0.15,40.283879999999996
1513,1513,4070,3878,3843,465,"TITAN tool and Die, inc.",25.0,Industrial - 1 Shift,Other,Education,2336.0,Simonis-Cormier,18:31.0,18:37.7,2.0,5,False,True,2,84,2340.0,0.145,,2,26348.0,20666.66667,2,7,28,28.0,12.0,786240.0,21.36752137,336.0,2,8,2537.2854,2537.2854,,8386.098333,3.31,30.255850800000005,,,,,,,36302.76,18804.24,17498.52,,250000.0,0.15,0.14521104
1514,1514,4071,3848,3813,348,Piney Woods School Master,53.0,School / University,Education,Education,,"Bailey, Schaden and Breitenberg",01:50.3,02:05.8,2.0,5,False,True,17,360,3680.0,0.1,,17,754800.0,13055.555559999999,17,0,0,,,,,,17,35,2.27e-13,2.27e-13,,0.0,,inf,,,,,,,441857.6,441857.6,0.0,,2000.0,0.15,220.9288
1515,1515,4071,3849,3814,348,Piney Woods School Master,53.0,School / University,Education,Public assembly,,"Bailey, Schaden and Breitenberg",05:21.0,05:39.3,2.0,5,False,True,17,360,3680.0,0.1,,17,754800.0,13055.555559999999,17,4340,6812,1457.0,1117.0,144789600.0,645.3804347999999,39345.0,48,84,28888.0,28888.0,,103960.0056,3.6,27.78760913,,,,,,,441857.6,152977.6,288880.0,,8000.0,0.961,55.2322
1516,1516,4073,3834,3799,463,320/340 Broadway,40.0,Office (General Office Types),Offices (Non-medical),Public assembly,,"McKenzie, Beer and Yundt",51:20.7,51:26.2,2.0,5,False,True,8,330,4368.0,0.12,,8,237424.0,16800.0,8,241,685,209.0,125.0,10911264.0,120.1923077,2498.0,14,32,4190.6592,4190.6592,,7271.17,1.74,57.63390486,,,,,,,71097.936,36175.776,34922.16,,18750.0,0.1,3.79188992
1517,1517,4088,3843,3808,15,Metro Luthern Ministry - 3031 Holmes Rd.,,,,Retail - Mall & Non-Mall,,"Anderson, Shields and Hyatt",36:42.2,36:56.5,2.0,5,False,True,6,72,2808.0,0.12,,6,41328.0,16833.33333,6,135,498,380.0,129.0,18633888.0,137.3626374,5688.0,9,23,2263.58496,2263.58496,,4582.0,2.02,49.40167962,3031 Holmes Rd.,Kansas City,MO,64109.0,39.071342,-94.5763,37497.096,18633.888,18863.208,,9000.0,0.961,4.1663440000000005
1518,1518,4090,3844,3809,449,180 Medical,40.0,Office (General Office Types),Offices (Non-medical),Retail - Mall & Non-Mall,,Barton Group,36:22.3,36:41.8,2.0,5,False,True,14,14,2600.0,0.1,,14,35084.0,15142.85714,14,1039,1047,1047.0,756.0,159426800.0,269.2307692,61318.0,14,16,10640.76,11172.798,,101525.616,,11.0049054,8516 NW Expressway,Oklahoma City,OK,73162.0,35.568436,-97.666,265834.4,159426.8,106407.6,,500.0,0.1,531.6688
1519,1519,4093,3857,3822,462,Royal oak nursing center,,,,Other,,Smitham Group,03:42.7,04:14.5,2.0,5,False,True,15,5400,5460.0,0.12,,15,5000400.0,18000.0,15,4165,4165,481.0,1855.0,58806384.0,984.4322344000001,11006.0,75,75,12424.3392,12424.3392,,13272.3,1.07,93.61104857,,,,,,,183049.776,58806.384000000005,124243.39199999999,,500.0,0.0446,366.099552
1520,1520,4094,3858,3823,416,Anderson International Corp,34.0,Manufacturing Facility,Other,Offices (Non-medical),2249.0,Hermiston Group,31:48.6,31:51.7,2.0,5,False,True,3,20,3146.0,0.107,,3,8520.0,20000.0,3,612,2716,1358.0,108.0,76900824.0,133.5028608,24444.0,6,24,7294.935362,17055.93536,2684.95,46209.29,2.71,36.91018703,4545 Boyce Pkwy,Stow,OH,44224.0,41.190490000000004,-81.454025,160367.35,92190.384,68176.966,,500.0,0.115,320.7347
1521,1521,4095,3850,3815,276,Town of Langley Public Works - Sewer Plant,48.0,Pump Stations,Services,Offices (Non-medical),2239.0,Maggio Inc,31:49.6,32:25.8,2.0,5,False,True,2,4,1830.0,0.07,,2,492.0,20000.0,2,4,4,4.0,60.0,219600.0,54.64480874,120.0,2,2,16.1406,16.1406,,160.0,,10.087875,,,,,,,450.18,219.6,230.58,,1000.0,0.045,0.45018
1522,1522,4096,3853,3818,463,375 Ames Court,40.0,Office (General Office Types),Offices (Non-medical),Services,,"McKenzie, Beer and Yundt",51:10.5,51:20.5,2.0,5,False,True,13,95,2840.0,0.115,,13,97565.0,11000.0,13,753,2581,681.0,248.8,22610944.0,390.8450704,7961.6,25,50,5702.72994,6299.12994,,12843.26,2.04,49.04619185,,,,,,,72615.96,23027.004,49588.956,,1000.0,0.085,72.61596
1523,1523,4097,3852,3817,276,Langley Public Library,29.0,Library,Public assembly,Services,2239.0,Maggio Inc,31:42.0,31:48.9,2.0,5,False,True,2,24,1248.0,0.075,,2,4128.0,10500.0,2,206,206,42.0,249.5,3697876.0,280.87044530000003,1977.5,6,6,375.3945,396.30609510000005,330.0,2801.0,7.07,14.14873599,,,,,,,8703.136,3697.8759999999997,5005.26,,768.0,0.1,11.33220833
1524,1524,4098,3866,3831,369,CBINT Interior,,,,Other,2251.0,Denesik-Rippin,55:39.6,55:47.0,2.0,5,False,True,1,437,,0.13,,1,38387.0,18052.63158,1,840,840,105.0,176.0,0.0,0.0,2310.0,8,8,0.0,0.0,,10524.111,,0.0,6880 N Green Bay Ave,Milwaukee,WI,53209.0,43.142796000000004,-87.93328000000001,0.0,0.0,0.0,,100.0,0.1,0.0
1525,1525,4100,3970,3935,434,Chautauqua Nursing and Rehabilitation Center,39.0,Nursing Homes,Health care - Outpatient,Other,,Kemmer-Kertzmann,36:27.7,42:04.3,2.0,5,False,True,3,186000,5140.0,0.08,,3,60998700.0,17700.0,3,32025,36917,727.0,3999.0,79343700.0,1136.986301,10869.0,166,225,15352.776000000002,15352.776000000002,,14624.97,0.95,104.9764615,10836 Temple Road,Dunkirk,NY,14048.0,42.47316,-79.36186,1369217.2,1177307.5,191909.7,,1836.0,0.15,745.7610022000001
1526,1526,4100,4007,3972,434,Chautauqua Nursing and Rehabilitation Center,39.0,Nursing Homes,Health care - Outpatient,Health care - Outpatient,,Kemmer-Kertzmann,55:01.4,59:27.7,2.0,5,False,True,38,186000,5140.0,0.08,,38,772650200.0,17700.0,38,0,0,4446.0,13623.0,412285750.0,7068.493151000001,56477.5,1032,1968,50162.388,50162.388,20000.0,149046.51,2.97,33.65552672,10836 Temple Road,Dunkirk,NY,14048.0,42.47316,-79.36186,1369217.2,742187.35,627029.85,,1000.0,0.0,1369.2172
1527,1527,4102,3917,3882,276,Claremore Schools High School Tennis Courts,,,,Offices (Non-medical),2239.0,Maggio Inc,20:10.1,20:11.7,2.0,5,False,True,1,1,780.0,0.11,,1,1078.0,10000.0,1,24,24,24.0,317.0,5934240.0,128.20512820000002,7608.0,1,1,1567.0512,1567.0512,,20160.0,,7.773071429,,,,,,,20180.16,5934.24,14245.92,,10000.0,0.052000000000000005,2.018016
1528,1528,4103,3892,3857,276,Claremore Schools PAC,,,,Other,2239.0,Maggio Inc,21:38.4,22:00.9,2.0,5,False,True,20,2520,2138.666667,0.11,,20,4927200.0,7000.0,20,7955,7955,1019.0,2243.5,46260740.0,2570.445344,27062.0,76,76,13316.534,13965.614430000001,,35355.0,2.53,39.50110147,,,,,,,173564.94,52505.54,121059.4,,5000.0,0.1,34.712988
1529,1529,4104,3856,3821,276,Trane Climate Solutions - National Cowboy & Western Heritage Museum,38.0,Museum,Public assembly,Other,2239.0,Maggio Inc,04:39.4,04:44.9,2.0,5,False,True,15,90,3102.666667,0.1,,15,213750.0,16666.66667,15,955,955,955.0,785.0,129179700.0,492.979243,50655.0,15,15,18986.37,19695.952530000002,,113326.442,5.75,17.37983844,1700 NE 63rd St,Oklahoma City,OK,73111.0,35.53564,-97.483154,319043.4,129179.7,189863.7,,25000.0,0.115,12.761736
1530,1530,4106,3859,3824,276,Glenpool Fire Department - Garage Bays,,,,Other,2239.0,Maggio Inc,04:47.2,04:49.4,2.0,5,False,True,3,6,5668.0,0.08,,3,3426.0,16666.66667,3,31,31,17.0,536.0,11678368.0,63.41575092,2278.0,4,4,1485.27808,1485.27808,1570.0,3475.0,2.34,42.74181525,14536 S. Elwood Avenue,Glenpool,OK,74033.0,35.954871999999995,-95.9951,30244.343999999997,11678.368,18565.976000000002,,5198.0,0.0446,5.818457867999999
1531,1531,4110,3894,3859,276,Claremore Schools Maintenance Garage,,,,Offices (Non-medical),2239.0,Maggio Inc,20:11.7,20:22.4,2.0,5,False,True,14,720,2138.666667,0.11,,14,729792.0,10133.33333,14,839,839,177.0,1190.0,12484900.0,842.1052632000001,6571.0,34,34,2437.149,2437.149,,9880.0,4.05,24.6675,325 N. Owalla Avenue,Claremore,OK,74017.0,36.315709999999996,-95.617424,35438.8,13282.9,22155.9,,7000.0,0.11,5.062685714
1532,1532,4112,3893,3858,276,Claremore Schools Zebra Dome,,,,Retail - Mall & Non-Mall,2239.0,Maggio Inc,20:27.4,20:30.4,2.0,5,False,True,6,90,2138.666667,0.11,,6,45000.0,10000.0,6,120,120,110.0,208.0,8551040.0,306.6801619,4640.0,7,7,1376.6456,1376.6456,,5240.0,3.81,26.2718626,,,,,,,21066.0,8551.04,12514.96,,200.0,0.1,105.33
1533,1533,4113,3863,3828,416,Lo Lo Property (Lincare),,,,Retail - Mall & Non-Mall,2249.0,Hermiston Group,04:16.8,04:24.7,2.0,5,False,True,2,126,2340.0,0.107,,2,16452.0,20000.0,2,2193,8412,792.0,186.0,21818160.0,495.72649569999993,9324.0,17,56,4018.599,9720.399,,32386.517999999996,3.33,30.01372052,1566 Akron Peninsula Rd # 2,Akron,OH,44313.0,41.1374,-81.549194,72818.46,35261.46,37557.0,,10000.0,0.085,7.281846000000001
1534,1534,4114,3882,3847,276,Claremore Schools New Gym,,,,Retail - Mall & Non-Mall,2239.0,Maggio Inc,21:06.8,21:38.2,2.0,5,False,True,24,3510,2138.666667,0.11,,24,8942400.0,8961.538462,24,5776,5776,639.0,3136.5,45009920.0,3077.935223,23879.0,104,104,7838.1688,7965.519304,,52802.0,6.63,15.08563938,,,,,,,120035.6,48779.52,71256.08,,500.0,0.11,240.0712
1535,1535,4116,3888,3853,276,Claremore Schools Frank Mobra Fieldhouse,,,,Retail - Mall & Non-Mall,2239.0,Maggio Inc,20:43.3,21:01.3,2.0,5,False,True,22,1104,2138.666667,0.11,,22,3650592.0,13521.739130000002,22,1199,1199,306.0,1382.0,19723900.0,1163.1578949999998,10381.0,39,39,4635.202,4725.574431,,14700.0,3.11,32.14676484,,,,,,,62660.1,20521.9,42138.2,,50000.0,0.1,1.2532020000000001
1536,1536,4118,3867,3832,416,Chromoflo Technologies LLC - Explosion Proof,,,,Retail - Mall & Non-Mall,2249.0,Hermiston Group,04:14.9,04:16.7,2.0,5,False,True,1,1,6656.0,0.107,,1,464.0,10000.0,1,18,18,18.0,169.0,20247552.0,15.02403846,3042.0,1,1,3781.73952,3889.73952,,33932.832,8.72,11.46305596,2600 Michigan Ave.,Ashtabula,OH,44004.0,41.875908,-80.80589,55590.912000000004,20247.552,35343.36,,10000.0,0.085,5.5590912
1537,1537,4119,3886,3851,276,Claremore Schools H.S. Football Field,,,,Warehouse and storage,2239.0,Maggio Inc,20:33.5,20:37.5,2.0,5,False,True,11,198,2128.0,0.11,,11,547668.0,11818.18182,11,136,136,92.0,726.0,879840.0,3192.3076920000003,3384.0,12,12,206.1488,206.1488,,5854.0,,3.5215032460000004,,,,,,,2753.92,879.84,1874.08,,1000.0,0.069,2.75392
1538,1538,4121,3885,3850,276,Claremore Schools H.S. Softball,,,,Warehouse and storage,2239.0,Maggio Inc,20:30.4,20:33.4,2.0,5,False,True,5,60,1535.333333,0.11,,5,43560.0,10000.0,5,59,59,37.0,200.0,451808.0,1178.871179,1048.0,6,6,286.05984,286.05984,,1697.0,5.93,16.8567967,,,,,,,3052.3520000000003,451.80800000000005,2600.544,,100000.0,0.085,0.03052352
1539,1539,4122,3884,3849,276,Claremore Schools Rubber Gym,,,,Offices (Non-medical),2239.0,Maggio Inc,21:01.7,21:06.7,2.0,5,False,True,8,224,1604.0,0.11,,8,258048.0,13750.0,8,218,218,118.0,491.0,12176600.0,339.52373430000006,5802.0,11,11,2526.3334800000002,2580.20446,,8332.0,3.23,30.96740831,,,,,,,35143.268,12176.6,22966.667999999998,,3730.0,0.07,9.421787668
1540,1540,4124,3887,3852,369,Oak Creek-Franklin Joint School District,,,,Retail - Mall & Non-Mall,2251.0,Denesik-Rippin,55:54.7,56:47.9,2.0,5,False,True,10,3828,3380.0,0.13,,10,3669660.0,17772.72727,10,21176,31318,1031.0,2100.0,59582640.0,1686.3905329999998,17628.0,155,243,33001.5764,33001.5764,25385.8,127227.3168,8.68,25.93906499,7630 S. 10th Street,Oak Creek,WI,53154.0,42.90566,-87.92661,362156.86,108298.58,253858.28,,7000.0,0.069,51.73669429
1541,1541,4127,3905,3870,276,Claremore Schools Vo Ag Building,54.0,Schools (Jr./Sr. High),Education,Offices (Non-medical),2239.0,Maggio Inc,20:22.7,20:27.1,2.0,5,False,True,8,112,2948.0,0.11,,8,160608.0,12625.0,8,180,180,67.0,545.0,4850700.0,384.2105263,2553.0,12,12,1654.444,1718.957316,,3768.0,2.19,45.61988632,,,,,,,19891.1,4850.7,15040.4,,1584.0,0.0446,12.55751263
1542,1542,4128,3873,3838,276,Southern Tire Mart Shop High Bays,1.0,Auto Related,Services,Offices (Non-medical),2239.0,Maggio Inc,03:41.3,03:42.7,2.0,5,False,True,1,1,3120.0,0.08,,1,455.0,10000.0,1,47,47,47.0,109.0,15983760.0,32.05128205,5123.0,1,1,4058.9952,4058.9952,1880.0,15980.0,3.94,25.40047059,40 N. 129th East Avenue,Tulsa,OK,47116.0,36.161694,-95.83496,66721.2,15983.76,50737.44,,7000.0,0.961,9.5316
1543,1543,4129,3874,3839,463,Fox Crossing Fire Station Valley Rd,,,,Other,,"McKenzie, Beer and Yundt",51:02.6,51:10.3,2.0,5,False,True,10,187,8700.0,0.115,,10,173910.0,17363.63636,10,472,1171,352.0,314.0,47710800.0,123.56321840000001,5484.0,24,58,7960.9785,7960.9785,,14231.26,1.79,55.9400819,,,,,,,118554.9,49329.0,69225.9,,20000.0,0.07,5.927745
1544,1544,4130,3904,3869,276,Claremore Schools H.S. Football Locker Room Bldg,,,,Other,2239.0,Maggio Inc,20:37.6,20:43.2,2.0,5,False,True,6,180,2052.0,0.11,,6,81360.0,18333.33333,6,613,613,173.0,428.0,5117280.0,1469.635628,4392.0,17,17,881.9712,881.9712,,4583.0,5.2,19.24440759,,,,,,,13135.2,5117.28,8017.92,,24320.0,0.079,0.5400986839999999
1545,1545,4132,3901,3866,465,ALTA Equipment Company,,,,Retail - Mall & Non-Mall,2336.0,Simonis-Cormier,27:17.7,27:18.7,2.0,5,False,True,1,1,2340.0,0.15,,1,80.0,20000.0,1,31,31,31.0,40.0,2901600.0,21.36752137,1240.0,1,1,435.24,435.24,,2707.953333,6.22,16.07265512,5920 Grand Haven Rd,Muskegon,MI,49441.0,43.144577000000005,-86.21992,5803.2,2901.6,2901.6,,250000.0,0.052000000000000005,0.0232128
1546,1546,4133,3890,3855,465,Shoreline INN outside,,,,Health care - Inpatient,2336.0,Simonis-Cormier,21:00.6,21:02.5,2.0,5,False,True,2,2,4380.0,0.095,,2,1432.0,10000.0,2,24,24,24.0,225.0,14454000.0,22.83105023,3300.0,2,2,2847.7884,2847.7884,,5843.65,2.05,48.73304185,750 Terrace point rd,Muskegon,MI,49440.0,43.23952,-86.25615,44430.72,14454.0,29976.72,,500.0,0.1,88.86144
1547,1547,4136,3876,3841,355,Brass Creekside Outage Replacements,40.0,Office (General Office Types),Offices (Non-medical),Warehouse and storage,2311.0,Labadie-Streich,01:08.2,01:14.2,2.0,5,False,True,5,18,4380.0,0.12,,5,18990.0,10000.0,5,101,101,39.0,800.0,15987000.0,114.1552511,3650.0,10,10,4770.3456,4770.3456,,1486.083333,0.31,321.001218,,,,,,,55739.88,15987.0,39752.88,,5000.0,0.085,11.147976
1548,1548,4139,3877,3842,355,Brass Creekside Full Exterior,40.0,Office (General Office Types),Offices (Non-medical),Other,2311.0,Labadie-Streich,01:00.8,01:08.0,2.0,5,False,True,6,24,4380.0,0.12,,6,28416.0,9063.333333,6,525,525,188.0,860.0,69050700.0,137.9863014,15765.0,13,13,21919.0968,24996.4168,10425.75,7240.833333,0.29,345.21464100000003,Creekside Office Park,Longmont,CO,80501.0,40.133472,-105.1232,251709.84,69050.7,182659.14,,450.0,0.0446,559.3552
1549,1549,4141,3880,3845,355,Brass Creekside Int & Ext,40.0,Office (General Office Types),Offices (Non-medical),Services,2311.0,Labadie-Streich,00:45.6,00:54.3,2.0,5,False,True,13,84,3363.0,0.12,,13,125736.0,13955.71429,13,2820,2820,2820.0,475.0,255022812.0,202.0051618,95037.0,13,13,56451.7476,65049.4976,8897.25,152647.5,2.55,42.61419126,Creekside Business Park,Longmont,CO,80501.0,40.133472,-105.1232,725454.042,255022.812,470431.23,,500.0,0.8,1450.908084
1550,1550,4142,3883,3848,463,Fox Crossing Community Center Valley Rd,,,,Other,,"McKenzie, Beer and Yundt",50:57.9,51:02.5,2.0,5,False,True,3,64,2340.0,0.115,,3,11712.0,17625.0,3,392,868,212.0,120.0,5952960.0,213.6752137,2544.0,10,23,1360.3005,1360.3005,,4239.1,3.12,32.08937039,,,,,,,17893.98,6065.28,11828.7,,10000.0,0.09,1.789398
